map_layout_code,max_cars,max_bikes,count_cars,throughput
1,1,0,106,106
1,1,0,107,107
1,1,0,104,104
1,1,0,106,106
1,1,0,106,106
1,3,0,278,92.66666667
1,3,0,278,92.66666667
1,3,0,273,91
1,3,0,289,96.33333333
1,3,0,281,93.66666667
1,5,0,343,68.6
1,5,0,331,66.2
1,5,0,360,72
1,5,0,329,65.8
1,5,0,328,65.6
1,7,0,324,46.28571429
1,7,0,326,46.57142857
1,7,0,338,48.28571429
1,7,0,323,46.14285714
1,7,0,310,44.28571429
1,9,0,332,36.88888889
1,9,0,348,38.66666667
1,9,0,324,36
1,9,0,320,35.55555556
1,9,0,340,37.77777778
1,11,0,334,30.36363636
1,11,0,347,31.54545455
1,11,0,341,31
1,11,0,348,31.63636364
1,11,0,313,28.45454545
1,13,0,338,26
1,13,0,320,24.61538462
1,13,0,308,23.69230769
1,13,0,326,25.07692308
1,13,0,296,22.76923077
1,1,3,81,81
1,1,3,86,86
1,1,3,79,79
1,1,3,82,82
1,1,3,86,86
1,3,3,205,68.33333333
1,3,3,197,65.66666667
1,3,3,208,69.33333333
1,3,3,202,67.33333333
1,3,3,219,73
1,5,3,265,53
1,5,3,273,54.6
1,5,3,252,50.4
1,5,3,269,53.8
1,5,3,273,54.6
1,7,3,271,38.71428571
1,7,3,275,39.28571429
1,7,3,268,38.28571429
1,7,3,259,37
1,7,3,259,37
1,9,3,291,32.33333333
1,9,3,297,33
1,9,3,301,33.44444444
1,9,3,286,31.77777778
1,9,3,275,30.55555556
1,11,3,290,26.36363636
1,11,3,267,24.27272727
1,11,3,291,26.45454545
1,11,3,272,24.72727273
1,11,3,272,24.72727273
1,13,3,282,21.69230769
1,13,3,287,22.07692308
1,13,3,269,20.69230769
1,13,3,290,22.30769231
1,13,3,284,21.84615385
1,1,6,65,65
1,1,6,70,70
1,1,6,63,63
1,1,6,74,74
1,1,6,71,71
1,3,6,176,58.66666667
1,3,6,166,55.33333333
1,3,6,157,52.33333333
1,3,6,169,56.33333333
1,3,6,165,55
1,5,6,212,42.4
1,5,6,203,40.6
1,5,6,207,41.4
1,5,6,210,42
1,5,6,217,43.4
1,7,6,240,34.28571429
1,7,6,216,30.85714286
1,7,6,234,33.42857143
1,7,6,216,30.85714286
1,7,6,215,30.71428571
1,9,6,238,26.44444444
1,9,6,245,27.22222222
1,9,6,221,24.55555556
1,9,6,222,24.66666667
1,9,6,239,26.55555556
1,11,6,237,21.54545455
1,11,6,244,22.18181818
1,11,6,232,21.09090909
1,11,6,225,20.45454545
1,11,6,234,21.27272727
1,13,6,249,19.15384615
1,13,6,239,18.38461538
1,13,6,235,18.07692308
1,13,6,257,19.76923077
1,13,6,233,17.92307692
1,1,9,54,54
1,1,9,54,54
1,1,9,56,56
1,1,9,54,54
1,1,9,58,58
1,3,9,119,39.66666667
1,3,9,131,43.66666667
1,3,9,127,42.33333333
1,3,9,133,44.33333333
1,3,9,139,46.33333333
1,5,9,173,34.6
1,5,9,182,36.4
1,5,9,186,37.2
1,5,9,177,35.4
1,5,9,162,32.4
1,7,9,195,27.85714286
1,7,9,192,27.42857143
1,7,9,198,28.28571429
1,7,9,200,28.57142857
1,7,9,171,24.42857143
1,9,9,202,22.44444444
1,9,9,202,22.44444444
1,9,9,202,22.44444444
1,9,9,203,22.55555556
1,9,9,202,22.44444444
1,11,9,191,17.36363636
1,11,9,189,17.18181818
1,11,9,205,18.63636364
1,11,9,204,18.54545455
1,11,9,209,19
1,13,9,191,14.69230769
1,13,9,191,14.69230769
1,13,9,205,15.76923077
1,13,9,197,15.15384615
1,13,9,179,13.76923077
1,1,12,48,48
1,1,12,43,43
1,1,12,40,40
1,1,12,45,45
1,1,12,42,42
1,3,12,109,36.33333333
1,3,12,97,32.33333333
1,3,12,111,37
1,3,12,102,34
1,3,12,107,35.66666667
1,5,12,138,27.6
1,5,12,135,27
1,5,12,137,27.4
1,5,12,144,28.8
1,5,12,141,28.2
1,7,12,146,20.85714286
1,7,12,147,21
1,7,12,141,20.14285714
1,7,12,151,21.57142857
1,7,12,149,21.28571429
1,9,12,137,15.22222222
1,9,12,161,17.88888889
1,9,12,141,15.66666667
1,9,12,166,18.44444444
1,9,12,185,20.55555556
1,11,12,160,14.54545455
1,11,12,159,14.45454545
1,11,12,190,17.27272727
1,11,12,164,14.90909091
1,11,12,159,14.45454545
1,13,12,158,12.15384615
1,13,12,158,12.15384615
1,13,12,161,12.38461538
1,13,12,159,12.23076923
1,13,12,160,12.30769231
1,1,15,38,38
1,1,15,33,33
1,1,15,37,37
1,1,15,35,35
1,1,15,37,37
1,3,15,85,28.33333333
1,3,15,99,33
1,3,15,93,31
1,3,15,80,26.66666667
1,3,15,92,30.66666667
1,5,15,109,21.8
1,5,15,96,19.2
1,5,15,109,21.8
1,5,15,107,21.4
1,5,15,113,22.6
1,7,15,121,17.28571429
1,7,15,129,18.42857143
1,7,15,107,15.28571429
1,7,15,133,19
1,7,15,134,19.14285714
1,9,15,127,14.11111111
1,9,15,137,15.22222222
1,9,15,122,13.55555556
1,9,15,138,15.33333333
1,9,15,114,12.66666667
1,11,15,107,9.727272727
1,11,15,122,11.09090909
1,11,15,134,12.18181818
1,11,15,144,13.09090909
1,11,15,131,11.90909091
1,13,15,128,9.846153846
1,13,15,130,10
1,13,15,138,10.61538462
1,13,15,150,11.53846154
1,13,15,128,9.846153846
1,1,0,105,105
1,1,0,105,105
1,1,0,105,105
1,1,0,106,106
1,1,0,106,106
1,1,0,106,106
1,1,0,104,104
1,1,0,106,106
1,3,0,287,95.66666667
1,3,0,280,93.33333333
1,3,0,288,96
1,3,0,261,87
1,3,0,284,94.66666667
